frame,id,3d_x,3d_y,3d_z
1,1,1.945110276,7.715386925,7.409040082
2,1,1.929353575,7.604772357,7.44020008
3,1,1.913603273,7.494115239,7.471428033
4,1,1.89783841,7.383277074,7.502746092
5,1,1.893220769,7.260900643,7.577106051
6,1,1.888598652,7.138107052,7.652058517
7,1,1.903600598,7.03982149,7.666666406
8,1,1.918704926,6.941467116,7.681123669
9,1,1.904008778,6.839052241,7.730057976
10,1,1.889390028,6.736256949,7.779133658
11,1,1.849541576,6.623124107,7.88546431
12,1,1.853528789,6.530575979,7.92540043
13,1,1.857518521,6.437591419,7.965504701
14,1,1.861571188,6.34470262,8.005822478
15,1,1.865825699,6.251687866,8.046127312
16,1,1.869972086,6.158376062,8.086575558
17,1,1.861049501,6.076705293,8.116490502
18,1,1.852115399,5.994917396,8.146464751
19,1,1.843169785,5.913012182,8.176498404
20,1,1.834233813,5.831131517,8.206567776
21,1,1.825265206,5.748991275,8.236720488
22,1,1.832384834,5.678392654,8.255457429
23,1,1.839534532,5.607728733,8.274224121
24,1,1.846872883,5.537031685,8.29288247
25,1,1.854149013,5.466243062,8.311720066
26,1,1.861457633,5.395376885,8.330566942
27,1,1.851431067,5.325336174,8.36211165
28,1,1.841464386,5.255190817,8.393719097
29,1,1.831473122,5.185008366,8.425103465
30,1,1.821489985,5.114665873,8.45685452
31,1,1.811498585,5.044224257,8.488677848
32,1,1.801451851,4.992368234,8.510006845
33,1,1.791368733,4.940428491,8.531505643
34,1,1.78132052,4.888617525,8.552864722
35,1,1.780183695,4.836824314,8.569332031
36,1,1.779189522,4.784977535,8.585802927
37,1,1.773482657,4.729582691,8.602144428
38,1,1.767924373,4.673915225,8.618253
39,1,1.76222238,4.618435525,8.634639619
40,1,1.752494403,4.562312552,8.655090302
41,1,1.742716225,4.505846434,8.675623407
42,1,1.732931815,4.449645895,8.695983979
43,1,1.723180766,4.393361086,8.716532907
44,1,1.713404921,4.336768471,8.737020136
45,1,1.703664049,4.280411772,8.757490033
46,1,1.693889983,4.2239646,8.778137456
47,1,1.685405727,4.170156737,8.802324147
48,1,1.676911762,4.116623631,8.826364356
49,1,1.668453833,4.062989625,8.850580512
50,1,1.659874925,4.009011499,8.874896407
51,1,1.651356262,3.9553033,8.899056001
52,1,1.645160644,3.894184698,8.925322525
53,1,1.639123726,3.832694877,8.95167816
54,1,1.632942752,3.771468048,8.977887893
55,1,1.626687275,3.709837633,9.00434
56,1,1.620535947,3.648431599,9.03079738
57,1,1.61277121,3.611482795,9.051859363
58,1,1.604970881,3.574473972,9.073115295
59,1,1.597235063,3.53742682,9.094388936
60,1,1.589448678,3.500391503,9.115550868
61,1,1.581700833,3.463279096,9.136877861
62,1,1.582089837,3.438519016,9.141812702
63,1,1.582480138,3.413753321,9.146746857
64,1,1.582938848,3.388987186,9.151691703
65,1,1.583402579,3.364204593,9.156615522
66,1,1.583863965,3.339427266,9.161558929
67,1,1.573959386,3.302533537,9.174193901
68,1,1.564116242,3.265623716,9.186852717
69,1,1.554200196,3.228687472,9.199512691
70,1,1.544367214,3.191882472,9.212170463
71,1,1.534506926,3.154908831,9.224866831
72,1,1.532405005,3.118954667,9.235239112
73,1,1.530307027,3.083216099,9.245304253
74,1,1.528135217,3.047231906,9.255700546
75,1,1.526035259,3.011224104,9.266095581
76,1,1.524003284,2.975203381,9.276509628
77,1,1.519502095,2.935276723,9.28702696
78,1,1.515090174,2.89523689,9.297833845
79,1,1.510876091,2.851549302,9.320909311
80,1,1.506750772,2.807726849,9.344299328
81,1,1.502534497,2.763955655,9.367441048
82,1,1.53217383,2.712502907,9.370652258
83,1,1.561930635,2.661044129,9.373999405
84,1,1.591697291,2.609514265,9.377206264
85,1,1.621586116,2.557968602,9.380528546
86,1,1.651599714,2.506644775,9.383647714
87,1,1.656120855,2.476670266,9.463849758
88,1,1.660877753,2.446818324,9.54383756
89,1,1.64631876,2.380058326,9.594958266
90,1,1.631617246,2.312968005,9.646368274
91,1,1.617103753,2.245977687,9.697572589
92,1,1.612326632,2.179083219,9.754234053
93,1,1.607735137,2.112241345,9.810858601
94,1,1.612597667,2.057513423,9.823303749
95,1,1.617524727,2.002707093,9.835903372
96,1,1.608984929,1.932543071,9.904042932
97,1,1.644129239,1.916201495,9.945830415
98,1,1.679248433,1.899844652,9.987653181
99,1,1.714509873,1.883613525,10.02946553
100,1,1.809422095,1.854306728,10.09309741
101,1,1.872707171,1.845009589,10.10276555
102,1,1.933643704,1.833900803,10.13933414
103,1,1.964412692,1.826716722,10.17260586
104,1,1.995290811,1.819555918,10.20588755
105,1,2.046194725,1.803492986,10.26197721
106,1,2.097364279,1.787381975,10.31829114
107,1,2.157755832,1.798305518,10.3498588
108,1,2.218285882,1.808941424,10.38147657
109,1,2.268828057,1.82791367,10.38906751
110,1,2.31951975,1.846912875,10.39663632
111,1,2.401722465,1.85737676,10.42235531
112,1,2.45359935,1.860753769,10.45088126
113,1,2.505625674,1.863998978,10.47946212
114,1,2.557498737,1.867297409,10.50787885
115,1,2.622730491,1.861253287,10.564655
116,1,2.663771148,1.870997807,10.57490265
117,1,2.707009696,1.849101526,10.59248083
118,1,2.750227472,1.827089342,10.60989275
119,1,2.803849856,1.80651536,10.61973871
120,1,2.857546679,1.785613292,10.6295994
121,1,2.951509019,1.763624642,10.63168055
122,1,3.043143355,1.771575259,10.62689322
123,1,3.083334148,1.76862802,10.67356644
124,1,3.123668966,1.76583694,10.72021289
125,1,3.16025512,1.753124439,10.80092921
126,1,3.196930197,1.740416391,10.88171043
127,1,3.240677384,1.723074071,10.90442598
128,1,3.284461297,1.705715693,10.92715159
129,1,3.328281966,1.688341262,10.94988723
130,1,3.372189712,1.67079992,10.97267395
131,1,3.416084091,1.653393309,10.99542965
132,1,3.485185194,1.654321727,10.99962777
133,1,3.581535142,1.647542236,11.02143455
134,1,3.678168682,1.640886209,11.04336689
135,1,3.774803334,1.634142147,11.06518677
136,1,3.836895019,1.632951711,11.07819884
137,1,3.876672495,1.618548686,11.09078627
138,1,3.916403347,1.604031469,11.10325155
139,1,3.956171153,1.589668168,11.11569868
140,1,3.995999503,1.575086706,11.12830489
141,1,4.035817383,1.560700695,11.14072648
142,1,4.087239212,1.57072098,11.13489899
143,1,4.138731574,1.580782124,11.12906569
144,1,4.190006802,1.590884994,11.12322214
145,1,4.241430502,1.601018559,11.11734831
146,1,4.292924015,1.611192803,11.11146896
147,1,4.400202849,1.583734385,11.12323334
148,1,4.507668118,1.556410955,11.13493133
149,1,4.615141335,1.528913763,11.14662295
150,1,4.722778919,1.501402995,11.1582966
151,1,4.830580773,1.473878764,11.16995201
152,1,4.941447144,1.467569032,11.19135494
153,1,5.052465014,1.461275203,11.21275154
154,1,5.16355501,1.455005355,11.23416562
155,1,5.274726219,1.448749732,11.2555637
156,1,5.385918906,1.442561094,11.27681173
157,1,5.484619736,1.452827652,11.28502102
158,1,5.583316893,1.462936008,11.29322278
159,1,5.681966496,1.473199388,11.30136118
160,1,5.780701844,1.483457543,11.30945333
161,1,5.879433304,1.493557536,11.31753745
162,1,5.974290001,1.486383658,11.32996571
163,1,6.069183168,1.479220271,11.34241637
164,1,6.164130714,1.472050265,11.35482762
165,1,6.259174735,1.464732675,11.36728563
166,1,6.354138084,1.457569139,11.37968641
167,1,6.450311005,1.472079759,11.38998139
168,1,6.546258422,1.486446094,11.40028408
169,1,6.642306105,1.501137955,11.41051867
170,1,6.738289695,1.515730113,11.42060446
171,1,6.834398363,1.530292928,11.43085157
172,1,6.945894376,1.57844641,11.47712046
173,1,7.057521263,1.626901363,11.52310937
174,1,7.15418628,1.632149403,11.57669419
175,1,7.251101558,1.637336969,11.63015756
176,1,7.348056835,1.642843399,11.68370897
177,1,7.463634997,1.658070178,11.72788888
178,1,7.579367124,1.673338076,11.77204554
179,1,7.695167133,1.688602071,11.81632872
180,1,7.811069371,1.703948594,11.86040683
181,1,7.927050043,1.719337504,11.90446561
182,1,7.993882729,1.777281378,11.94881013
183,1,8.060729444,1.835341044,11.99303174
184,1,8.127399029,1.893604279,12.03681734
185,1,8.194261342,1.951737352,12.08082501
186,1,8.261147757,2.010142982,12.12467424
187,1,8.326856205,2.037568329,12.1673606
